model,n_series,wql,mase
seasonal_naive,30490,0.5820909645445436,1.1890124801062263
ets,100,0.471771361323787,0.9762622245164596
prophet,100,1.034701031256782,1.3866444809715148
deepar,2001,0.4820700808997336,1.2135726050839475
lightgbm,2001,0.4668798083130639,0.8617169756576295
