policy,order_up_to,n_series,mean_stockout_rate,mean_holding_cost_per_series,total_holding_cost
p90,q0.9,2001,0.019008352966373952,0.7707617638257956,1542.294289415417
p50,q0.5,2001,0.2385592917826801,0.12926280010679594,258.6548630136987
