model,origin,segment,n_series,wql,mase
lightgbm,1773,overall,1999,0.4953361479859155,0.8079950531196033
lightgbm,1801,overall,1999,0.48685225979538177,0.7768837680920357
lightgbm,1829,overall,2001,0.4628791309447258,1.0149769144093879
lightgbm,1857,overall,2001,0.46449316244002753,0.8708607294375091
lightgbm,1885,overall,2001,0.4668798083130639,0.8617169756576295
